participant	study	session_id	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
20469	BHRC	1	-84	1	1				1	Pass
20474	BHRC	1	-58		1	1		1	1	Pass
20474	BHRC	2	-73			1	1	1	1	Pass
20480	BHRC	1	-99			1	1	0.75	0.916666667	Artifact
20482	BHRC	2	-86	1	1				1	Pass
20487	BHRC	1	-83	1			1		1	Pass
20487	BHRC	2	-63			1	1	1	1	Pass
20489	BHRC	1	-67		1	1		1	1	Pass
20489	BHRC	2	-45	1	0.75	1	1	1	0.95	Artifact
20491	BHRC	1	-54	1			1		1	Pass
20492	BHRC	1	-150	1	0.75				0.875	Artifact
20502	BHRC	1	-71	1	1	1	1	1	1	Pass
20503	BHRC	1	-71	1	1	1	1	1	1	Pass
20504	BHRC	1	-49	1	1	1	1	1	1	Pass
20505	BHRC	1	-62	1	1				1	Pass
20505	BHRC	2	-41	1	1	1	1	1	1	Pass
20512	BHRC	1	-101	1	1	1	1	1	1	Pass
20512	BHRC	2	-67	1	1				1	Pass
20514	BHRC	2	-43	1	1				1	Pass
20519	BHRC	1	-113			1	1	1	1	Pass
20525	BHRC	2	-81		1	1		1	1	Pass
20526	BHRC	1	-82	1	1	1	1	1	1	Pass
20528	BHRC	1	-79			1	1	0.75	0.916666667	Artifact
20528	BHRC	2	-73		1	1		1	1	Pass
20529	BHRC	2	-47	1	1				1	Pass
20530	BHRC	1	-87		1	1		1	1	Pass
20530	BHRC	2	-116	1	0.75				0.875	Artifact
20532	BHRC	2	-75		1	1		1	1	Pass
20535	BHRC	1	-52	1			1		1	Pass
20539	BHRC	1	-112	1	1	1	1	1	1	Pass
20541	BHRC	1	-51	1			1		1	Pass
20544	BHRC	1	-47	1	1				1	Pass
20544	BHRC	2	-40	1	1	1	1	1	1	Pass
20548	BHRC	1	-58	1			1		1	Pass
20550	BHRC	1	-61	0.75	1				0.875	Artifact
20550	BHRC	2	-77	1			1		1	Pass
20556	BHRC	2	-68	1	1	1	0.75	0.75	0.9	Artifact
20567	BHRC	1	-65	1	1	1	1	1	1	Pass
20568	BHRC	1	-26		1	1		1	1	Pass
20571	BHRC	1	-38			1	1	1	1	Pass
20573	BHRC	1	-67		1	1		1	1	Pass
20577	BHRC	1	-82	1	1				1	Pass
20577	BHRC	2	-54			1	1	1	1	Pass
20579	BHRC	2	-63	1	1	1	1	1	1	Pass
20580	BHRC	2	-93			1	1	0.75	0.916666667	Artifact
20581	BHRC	2	-54	1	1	1	1	1	1	Pass
20583	BHRC	1	-124	1			1		1	Pass
20584	BHRC	1	-96	1	1	1	1	1	1	Pass
20587	BHRC	1	-68	1			1		1	Pass
20587	BHRC	2	-72		1	1		1	1	Pass
20588	BHRC	1	-62	1	1				1	Pass
20590	BHRC	1	-60	1	1				1	Pass
